Time ,Total,Hydrophobic,Hydrophilic
482300,245.37,107.634,111.975
483000,248.036,109.494,112.392
483700,245.217,110.439,106.212
484400,243.17,109.416,109.968
485100,246.32,110.566,111.07
485800,249.26,110.57,110.21
486500,243.23,109.452,110.079
487200,241.388,111.884,106.083
487900,242.241,111.599,107.532
488600,242.737,111.26,109.992
489300,249.083,115.4,111.412
490000,243.423,111.583,107.762
490700,241.522,111.311,108.195
491400,240.026,109.711,106.783
492100,245.931,109.505,111.881
492800,243.364,111.875,108.592
493500,239.127,109.76,105.591
494200,237.09,110.716,103.253
494900,239.849,110.545,106.912
495600,243.662,114.673,107.481
496300,244.093,111.282,111.855
497000,245.601,112.013,111.473
497700,241.731,110.107,110.484
498400,243.888,113.862,107.836
499100,247.962,114.488,110.273
499800,243.979,108.846,112.663
500500,241.36,109.409,110.283
501200,250.2,110.295,112.627
501900,244.742,109.227,113.185
502600,247.791,112.178,113.04
503300,247.901,112.906,113.808
504000,248.345,113.147,111.89
504700,248.219,112.872,111.296
505400,249.176,114.923,110.583
506100,246.712,114.541,111.182
506800,245.535,111.027,111.52
507500,245.501,111.013,111.741
508200,249.037,112.837,112.911
508900,239.333,108.944,109.259
509600,245.831,110.25,114.479
510300,240.639,109.711,109.602
511000,241.514,112.926,107.603
511700,241.056,112.322,106.443
512400,243.884,111.673,109.831
513100,246.009,110.156,111.823
513800,244.564,113.182,107.983
514500,248.396,112.462,113.013
515200,241.5,111.967,107.61
515900,244.023,111.207,110.479
516600,240.638,108.934,109.972
517300,242.559,111.211,109.182
518000,242.783,108.426,111.451
518700,247.338,111.204,112.508
519400,244.894,109.286,113.885
520100,241.323,108.763,112.204
520800,244.371,109.508,112.343
521500,239.782,108.972,108.413
522200,237.799,108.7,107.968
522900,240.669,107.102,111.387
523600,250.031,112.861,113.678
524300,248.852,114.77,110.127
525000,248.886,111.891,114.891
525700,245.1,109.964,112.646
526400,243.542,110.501,109.364
527100,239.133,106.647,110.256
527800,241.794,109.54,110.481
528500,245.123,110.454,114.159
529200,240.933,111.468,106.586
529900,246.609,113.237,110.602
530600,247.048,109.295,115.837
531300,244.158,112.052,111.912
532000,244.631,111.067,113.112
532700,238.095,107.201,108.578
533400,240.628,109.308,111.69
534100,249.249,112.096,114.541
534800,237.695,108.09,108.948
535500,243.729,111.17,111.132
536200,241.021,108.855,111.001
536900,238.477,110.627,107.51
537600,237.525,107.31,110.363
538300,233.536,104.781,107.883
539000,238.066,105.852,109.574
539700,238.741,108.75,108.051
540400,238.614,107.495,109.639
541100,235.338,107.012,106.555
541800,239.806,105.346,109.294
542500,244.406,108.273,113.225
543200,246.359,109.771,110.556
543900,241.284,105.76,111.771
544600,240.405,107.025,109.728
545300,233.03,105.31,104.385
546000,239.415,106.341,108.534
546700,244.445,108.977,110.01
547400,248.385,112.21,112.692
